date,order_no,format,division_name,orderval,rcvval
2020-10-21,329.0,sm,Grocery Food,"13,564.3","13,564.3"
2020-10-23,330.0,sm,Grocery Food,796.8,796.8
2020-10-24,331.0,sm,Grocery Non Food,"2,054.3","2,054.3"
2020-10-16,332.0,sm,Grocery Food,"2,551.7","2,551.7"
2020-10-16,333.0,sm,Grocery Food,519.6,519.6
2020-10-20,334.0,sm,Grocery Food,"5,164.5","5,164.5"
2020-10-23,335.0,sm,Grocery Food,"60,742.9","51,631.5"
2020-10-20,336.0,sm,Grocery Non Food,"1,340.9","1,340.9"
2020-10-16,337.0,sm,Grocery Food,482.9,482.9
2020-10-21,338.0,sm,Grocery Food,826.1,826.1
2020-10-18,339.0,sm,Grocery Non Food,"2,714.0","2,714.0"
2020-10-20,340.0,sm,Grocery Food,550.6,550.6
2020-10-22,341.0,sm,Grocery Non Food,"3,326.2","3,326.2"
2020-10-22,342.0,sm,Grocery Non Food,"11,752.4","11,752.4"
2020-10-20,343.0,sm,Grocery Non Food,"2,411.9","1,702.5"
2020-10-16,344.0,sm,Grocery Food,"5,682.9","5,682.9"
2020-10-21,345.0,sm,Grocery Food,"1,800.0","1,800.0"
2020-10-22,346.0,sm,Grocery Food,683.6,683.6
2020-10-16,347.0,sm,Grocery Food,521.3,521.3
2020-10-24,348.0,sm,Grocery Non Food,"1,222.3","1,222.3"
2020-10-19,349.0,sm,Grocery Non Food,"3,991.4","3,880.6"
2020-10-22,350.0,sm,Grocery Food,"2,935.6","2,935.6"
2020-10-19,351.0,sm,Grocery Food,"4,192.0","4,192.0"
2020-10-20,352.0,sm,Grocery Food,"1,258.1","1,258.1"
2020-10-25,353.0,sm,Grocery Food,"2,356.9","2,356.9"
2020-10-21,354.0,sm,Grocery Food,"5,785.2","5,785.2"
2020-10-21,355.0,sm,Grocery Food,173.1,173.1
2020-10-20,356.0,sm,Grocery Food,"7,864.6","7,864.6"
2020-10-19,357.0,sm,Grocery Food,465.3,465.3
2020-10-26,358.0,sm,Grocery Non Food,"4,448.9","4,448.9"
2020-10-24,359.0,sm,Grocery Non Food,"3,355.5","3,355.5"
2020-10-22,360.0,sm,Grocery Non Food,"1,477.5","1,477.5"
2020-10-19,361.0,sm,Grocery Food,"3,602.0","3,602.0"
2020-10-19,362.0,sm,Grocery Food,"2,336.0","2,336.0"
2020-10-20,363.0,sm,Grocery Food,538.3,538.3
2020-10-15,364.0,sm,Grocery Food,"1,512.4","1,512.4"
2020-10-18,365.0,sm,Grocery Food,"2,263.1","2,074.5"
2020-10-18,366.0,sm,Grocery Food,"8,385.0","8,385.0"
2020-10-20,367.0,sm,Grocery Non Food,"6,795.8","6,795.8"
2020-10-20,368.0,sm,Grocery Food,"2,746.6","2,746.6"
2020-10-21,369.0,sm,Grocery Non Food,"4,340.0","4,340.0"
2020-10-21,370.0,sm,Grocery Non Food,"1,459.0","1,459.0"
2020-10-21,371.0,sm,Grocery Non Food,"1,626.7","1,626.7"
2020-10-20,372.0,sm,Grocery Non Food,"3,880.6","3,880.6"
2020-10-20,373.0,sm,Staples,"22,409.3","22,409.3"
2020-10-16,374.0,sm,Grocery Food,419.4,419.4
2020-10-25,375.0,sm,Grocery Food,988.6,988.6
2020-10-18,376.0,sm,Grocery Food,"2,012.1","1,676.8"
